Order ID,Order Date,CustomerName,State,City
B-26055,10-03-2018,Harivansh,Uttar Pradesh,Mathura
B-25993,03-02-2018,Madhav,Delhi,Delhi
B-25973,24-01-2018,Madan Mohan,Uttar Pradesh,Mathura
B-25923,27-12-2018,Gopal,Maharashtra,Mumbai
B-25757,21-08-2018,Vishakha,Madhya Pradesh,Indore
B-25967,21-01-2018,Sudevi,Uttar Pradesh,Prayagraj
B-25955,16-01-2018,Shiva,Maharashtra,Pune
B-26093,27-03-2018,Sarita,Maharashtra,Pune
B-25798,01-10-2018,Shishu,Andhra Pradesh,Hyderabad
B-25602,01-04-2018,Vrinda,Maharashtra,Pune
B-25858,13-11-2018,Uudhav,Maharashtra,Mumbai
B-25969,21-01-2018,Shreyshi,Gujarat,Surat
B-26099,30-03-2018,Bhishm,Maharashtra,Mumbai
B-25997,04-02-2018,Yogesh,Maharashtra,Pune
B-25881,25-11-2018,Lalita,Uttar Pradesh,Mathura
B-25761,25-08-2018,Madhav,Uttar Pradesh,Mathura
B-25887,01-12-2018,Vishakha,Uttar Pradesh,Prayagraj
B-25823,18-10-2018,Rohan,Maharashtra,Mumbai
B-25853,08-11-2018,Gaurav,Gujarat,Ahmedabad
B-25862,15-11-2018,Amol,Bihar,Patna
B-25830,26-10-2018,Aastha,Himachal Pradesh,Simla
B-25786,19-09-2018,Madan Mohan,Uttar Pradesh,Mathura
B-25686,11-06-2018,Pooja,Himachal Pradesh,Simla
B-26022,18-02-2018,Shrichand,Punjab,Chandigarh
B-26003,08-02-2018,Hitesh,Madhya Pradesh,Bhopal
B-25755,19-08-2018,Shourya,Kerala ,Thiruvananthapuram
B-25902,10-12-2018,Ishpreet,Maharashtra,Mumbai
B-25935,04-01-2018,Sudhir,Nagaland,Kohima
B-25797,30-09-2018,Sauptik,Madhya Pradesh,Indore
B-25639,27-04-2018,Lisha,Madhya Pradesh,Bhopal
B-25681,04-06-2018,Bhawna,Madhya Pradesh,Indore
B-25909,13-12-2018,Sujay,Maharashtra,Pune
B-25910,14-12-2018,Jay,Delhi,Delhi
B-25950,13-01-2018,Shruti,Madhya Pradesh,Indore
B-25613,12-04-2018,Mohan,Haryana,Chandigarh
B-25919,23-12-2018,Neha,Rajasthan,Udaipur
B-25768,01-09-2018,Shreyoshe,Karnataka,Bangalore
B-25629,24-04-2018,Hemant,Kerala ,Thiruvananthapuram
B-25729,22-07-2018,Madhulika,Madhya Pradesh,Bhopal
B-25943,09-01-2018,Shardul,Gujarat,Ahmedabad
B-25842,02-11-2018,Sheetal,Maharashtra,Pune
B-26073,21-03-2018,Pournamasi,Madhya Pradesh,Indore
B-25778,11-09-2018,Surabhi,Maharashtra,Mumbai
B-25717,12-07-2018,Manshul,Uttar Pradesh,Lucknow
B-26085,26-03-2018,Shrichand,Punjab,Chandigarh
B-26048,04-03-2018,Parth,Maharashtra,Pune
B-25793,24-09-2018,Siddharth,Madhya Pradesh,Indore
B-25656,11-05-2018,Priyanka,Maharashtra,Pune
B-25608,08-04-2018,Aarushi,Tamil Nadu,Chennai
B-25752,14-08-2018,Vaibhav,Madhya Pradesh,Indore
B-25779,12-09-2018,Savi,Maharashtra,Pune
B-25603,03-04-2018,Jahan,Madhya Pradesh,Bhopal
B-26051,07-03-2018,Parishi,West Bengal,Kolkata
B-25653,08-05-2018,Farah,Nagaland,Kohima
B-25855,08-11-2018,Abhijeet,Madhya Pradesh,Bhopal
B-25762,26-08-2018,Anudeep,Madhya Pradesh,Indore
B-25995,04-02-2018,Yohann,Delhi,Delhi
B-25929,02-01-2018,Girase,Kerala ,Thiruvananthapuram
B-26006,09-02-2018,Arpita,Karnataka,Bangalore
B-25697,22-06-2018,Vijay,Jammu and Kashmir,Kashmir
B-25836,29-10-2018,Arti,Maharashtra,Pune
B-25601,01-04-2018,Bharat,Gujarat,Ahmedabad
B-25873,23-11-2018,Divyeta,Madhya Pradesh,Indore
B-26028,20-02-2018,Manju,Andhra Pradesh,Hyderabad
B-25964,20-01-2018,Oshin,Maharashtra,Pune
B-25676,01-06-2018,Chandni,Rajasthan,Jaipur
B-25839,30-10-2018,Pranjali,West Bengal,Kolkata
B-25894,04-12-2018,Monu,Punjab,Amritsar
B-25925,29-12-2018,Shruti,Maharashtra,Mumbai
B-25953,14-01-2018,Krutika,Andhra Pradesh,Hyderabad
B-25772,02-09-2018,Sanjana,Bihar,Patna
B-25957,18-01-2018,Mahima,Madhya Pradesh,Indore
B-25730,22-07-2018,Rishabh,Rajasthan,Jaipur
B-25877,24-11-2018,Dashyam,Gujarat,Surat
B-26067,16-03-2018,Tulika,Madhya Pradesh,Bhopal
B-25810,10-10-2018,Nripraj,Punjab,Chandigarh
B-25868,18-11-2018,Vikash,Goa,Goa
B-26023,19-02-2018,Mukesh,Haryana,Chandigarh
B-25626,23-04-2018,Bhishm,Maharashtra,Mumbai
B-25937,05-01-2018,Ankit,Haryana,Chandigarh
B-25610,09-04-2018,Yogesh,Bihar,Patna
B-25777,10-09-2018,Aditi,Madhya Pradesh,Indore
B-25738,02-08-2018,Ayush,Punjab,Chandigarh
B-25978,27-01-2018,Parin,Maharashtra,Mumbai
B-25643,29-04-2018,Kirti,Jammu and Kashmir,Kashmir
B-25728,22-07-2018,Ameesha,Maharashtra,Pune
B-25749,13-08-2018,Ayush,Maharashtra,Mumbai
B-25667,23-05-2018,Anjali,Haryana,Chandigarh
B-25657,13-05-2018,Tulika,Madhya Pradesh,Bhopal
B-25753,17-08-2018,Shivam,Uttar Pradesh,Lucknow
B-26061,14-03-2018,Anurag,Madhya Pradesh,Indore
B-25838,29-10-2018,Sanjana,Madhya Pradesh,Indore
B-25702,27-06-2018,Shaily,Maharashtra,Mumbai
B-25952,13-01-2018,Priyanka,Madhya Pradesh,Indore
B-25666,22-05-2018,Tanvi,Punjab,Chandigarh
B-25675,31-05-2018,Shreya,Madhya Pradesh,Bhopal
B-25650,06-05-2018,Chirag,Maharashtra,Mumbai
B-25986,31-01-2018,Shweta,Rajasthan,Udaipur
B-25850,05-11-2018,Abhishek,Goa,Goa
B-25898,07-12-2018,Abhishek,Rajasthan,Udaipur
B-25813,10-10-2018,Hrisheekesh,Maharashtra,Mumbai
B-25825,21-10-2018,Kartik,Madhya Pradesh,Indore
B-25954,14-01-2018,Trupti,Gujarat,Ahmedabad
B-25696,21-06-2018,Noopur,Karnataka,Bangalore
B-25638,26-04-2018,Parth,Maharashtra,Pune
B-25747,11-08-2018,Harsh,Madhya Pradesh,Bhopal
B-25904,10-12-2018,Swapnil,Delhi,Delhi
B-25852,07-11-2018,Soumyabrata,Andhra Pradesh,Hyderabad
B-25981,28-01-2018,Amruta,Delhi,Delhi
B-25899,08-12-2018,Aishwarya,Uttar Pradesh,Prayagraj
B-25870,20-11-2018,Pranav,Andhra Pradesh,Hyderabad
B-26040,26-02-2018,Sahil,Punjab,Chandigarh
B-25671,27-05-2018,Mitali,Nagaland,Kohima
B-26100,31-03-2018,Hitika,Madhya Pradesh,Indore
B-25651,07-05-2018,Anurag,Madhya Pradesh,Indore
B-25968,21-01-2018,Paromita,Punjab,Amritsar
B-26019,15-02-2018,Jitesh,Uttar Pradesh,Lucknow
B-25664,20-05-2018,Pratyusmita,Bihar,Patna
B-26033,22-02-2018,Atharv,West Bengal,Kolkata
B-26052,08-03-2018,Ajay,Karnataka,Bangalore
B-25999,05-02-2018,Diwakar,Delhi,Delhi
B-25781,14-09-2018,Rutuja,Gujarat,Ahmedabad
B-25764,28-08-2018,Sanjova,Maharashtra,Pune
B-25803,05-10-2018,Shivanshu,Madhya Pradesh,Indore
B-25945,11-01-2018,Mhatre,Madhya Pradesh,Indore
B-26086,26-03-2018,Mukesh,Haryana,Chandigarh
B-25845,03-11-2018,Snel,Kerala ,Thiruvananthapuram
B-25817,13-10-2018,Praneet,Maharashtra,Mumbai
B-25951,13-01-2018,Jesal,West Bengal,Kolkata
B-25970,22-01-2018,Rhea,Maharashtra,Mumbai
B-25878,24-11-2018,Mrinal,Maharashtra,Mumbai
B-26057,10-03-2018,Sharda,Kerala ,Thiruvananthapuram
B-25885,28-11-2018,Shatayu,Madhya Pradesh,Indore
B-25897,06-12-2018,Rohan,Madhya Pradesh,Indore
B-25756,20-08-2018,Mohan,Maharashtra,Mumbai
B-25859,14-11-2018,Chikku,Madhya Pradesh,Indore
B-25691,16-06-2018,Akancha,Maharashtra,Mumbai
B-25633,26-04-2018,Amit,Sikkim,Gangtok
B-25708,01-07-2018,Kishwar,Madhya Pradesh,Indore
B-25831,27-10-2018,Mahima,Sikkim,Gangtok
B-25856,10-11-2018,Abhijeet,Maharashtra,Mumbai
B-25893,04-12-2018,Vrinda,Uttar Pradesh,Mathura
B-25959,18-01-2018,Muskan,Madhya Pradesh,Indore
B-26000,06-02-2018,Shubham,Delhi,Delhi
B-26097,28-03-2018,Vini,Karnataka,Bangalore
B-25745,09-08-2018,Kartik,Gujarat,Ahmedabad
B-25974,25-01-2018,Manisha,Rajasthan,Udaipur
B-25670,25-05-2018,Charika,Goa,Goa
B-25848,03-11-2018,Rohan,Himachal Pradesh,Simla
B-25888,02-12-2018,Rohan,Punjab,Amritsar
B-25942,08-01-2018,Ankur,Andhra Pradesh,Hyderabad
B-25847,03-11-2018,Aniket,Haryana,Chandigarh
B-25636,26-04-2018,Nishi,Maharashtra,Mumbai
B-25826,22-10-2018,Tanushree,Maharashtra,Mumbai
B-26081,22-03-2018,Aarushi,Tamil Nadu,Chennai
B-25625,23-04-2018,Pinky,Jammu and Kashmir,Kashmir
B-25802,05-10-2018,Yash,Maharashtra,Mumbai
B-25693,18-06-2018,Parna,Madhya Pradesh,Bhopal
B-25796,24-09-2018,Sukrith,Maharashtra,Mumbai
B-25806,06-10-2018,Dhanraj,Madhya Pradesh,Indore
B-25710,05-07-2018,Megha,Maharashtra,Pune
B-25669,25-05-2018,Piyali,Sikkim,Gangtok
B-25857,10-11-2018,Anand,Madhya Pradesh,Indore
B-25785,15-09-2018,Ayush,West Bengal,Kolkata
B-25930,03-01-2018,Monica,Punjab,Chandigarh
B-26053,09-03-2018,Kirti,Jammu and Kashmir,Kashmir
B-26070,18-03-2018,Shruti,Karnataka,Bangalore
B-25791,24-09-2018,Avish,Kerala ,Thiruvananthapuram
B-25983,30-01-2018,Atul,Delhi,Delhi
B-25979,27-01-2018,Shivangi,Madhya Pradesh,Indore
B-26054,10-03-2018,Mayank,Maharashtra,Mumbai
B-26078,22-03-2018,Kasheen,West Bengal,Kolkata
B-25787,20-09-2018,Asish,Jammu and Kashmir,Kashmir
B-25682,07-06-2018,Krutika,Bihar,Patna
B-25962,19-01-2018,Tejeswini,Maharashtra,Pune
B-25750,14-08-2018,Priyanshu,Madhya Pradesh,Indore
B-25828,24-10-2018,Nikita,Punjab,Chandigarh
B-25622,22-04-2018,Monisha,Rajasthan,Jaipur
B-25751,14-08-2018,Nishant,Maharashtra,Mumbai
B-25685,10-06-2018,Sheetal,Madhya Pradesh,Indore
B-26010,11-02-2018,Kartikay,Bihar,Patna
B-26035,23-02-2018,Pinky,Jammu and Kashmir,Kashmir
B-25698,23-06-2018,Amisha,Tamil Nadu,Chennai
B-25966,21-01-2018,Soumya,Rajasthan,Udaipur
B-25832,28-10-2018,Harshita,Maharashtra,Mumbai
B-25743,07-08-2018,Aman,Nagaland,Kohima
B-25886,28-11-2018,Brijesh,Rajasthan,Udaipur
B-25975,25-01-2018,Priyanka,Uttar Pradesh,Prayagraj
B-26098,29-03-2018,Pinky,Jammu and Kashmir,Kashmir
B-25614,13-04-2018,Vandana,Himachal Pradesh,Simla
B-25726,21-07-2018,Kiran,Maharashtra,Mumbai
B-26050,06-03-2018,Paridhi,Rajasthan,Jaipur
B-25609,09-04-2018,Jitesh,Uttar Pradesh,Lucknow
B-25741,03-08-2018,Navdeep,Madhya Pradesh,Indore
B-25956,17-01-2018,Shreya,Maharashtra,Mumbai
B-25689,14-06-2018,Bhaggyasree,Maharashtra,Mumbai
B-25939,05-01-2018,Vineet,Sikkim,Gangtok
B-25890,04-12-2018,Divyansha,Maharashtra,Mumbai
B-25814,10-10-2018,Swapnil,Madhya Pradesh,Indore
B-25718,12-07-2018,Anjali,Maharashtra,Mumbai
B-25914,18-12-2018,Kajal,Delhi,Delhi
B-25903,10-12-2018,Amlan,Madhya Pradesh,Indore
B-26096,28-03-2018,Atharv,West Bengal,Kolkata
B-25654,10-05-2018,Sabah,Maharashtra,Mumbai
B-26076,21-03-2018,Jahan,Madhya Pradesh,Bhopal
B-25961,18-01-2018,Surbhi,Gujarat,Ahmedabad
B-25854,08-11-2018,Shubham,Maharashtra,Pune
B-25642,28-04-2018,Ajay,Karnataka,Bangalore
B-25683,08-06-2018,Shreya,Kerala ,Thiruvananthapuram
B-26016,14-02-2018,Hazel,Karnataka,Bangalore
B-26034,23-02-2018,Vini,Karnataka,Bangalore
B-26056,10-03-2018,Sonal,Bihar,Patna
B-25819,15-10-2018,Ankur,Madhya Pradesh,Bhopal
B-25715,10-07-2018,Srishti,Jammu and Kashmir,Kashmir
B-25933,04-01-2018,Shikhar,Maharashtra,Mumbai
B-26014,13-02-2018,Divsha,Rajasthan,Jaipur
B-25655,11-05-2018,Nida,Madhya Pradesh,Indore
B-25816,12-10-2018,Mane,Andhra Pradesh,Hyderabad
B-25634,26-04-2018,Sanjay,Goa,Goa
B-25895,04-12-2018,Sathya,Gujarat,Surat
B-25687,11-06-2018,Sanjna,Maharashtra,Mumbai
B-25662,17-05-2018,Sweta,Maharashtra,Mumbai
B-25635,26-04-2018,Nidhi,Nagaland,Kohima
B-26060,13-03-2018,Chirag,Maharashtra,Mumbai
B-26045,03-03-2018,Nidhi,Nagaland,Kohima
B-25770,02-09-2018,Sakshi,Madhya Pradesh,Indore
B-25744,08-08-2018,Devendra,Andhra Pradesh,Hyderabad
B-25618,18-04-2018,Manju,Andhra Pradesh,Hyderabad
B-25958,18-01-2018,Aparajita,West Bengal,Kolkata
B-25769,02-09-2018,Surbhi,Maharashtra,Mumbai
B-25619,18-04-2018,Ramesh,Gujarat,Ahmedabad
B-25688,11-06-2018,Swetha,Madhya Pradesh,Indore
B-25829,25-10-2018,Apoorva,Haryana,Chandigarh
B-26036,23-02-2018,Bhishm,Maharashtra,Mumbai
B-25714,09-07-2018,Stuti,Karnataka,Bangalore
B-25989,01-02-2018,Anjali,Delhi,Delhi
